ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude_decimal_degrees,longitude_decimal_degrees
ENTS,small_airport,Trysil SÃƒÂ¦terÃƒÂ¥sen Airport,1900,EU,NO,NO-04,,ENTS,,,61.22927856,12.26640701
ENTY,small_airport,Tynset Airport,1581,EU,NO,NO-04,Tynset,ENTY,,,62.25690079,10.66940022
ENUH,heliport,"Oslo Heliport, Ullevaal",,EU,NO,NO-03,Oslo,ENUH,,,59.936215,10.736541
ENUL,small_airport,Os Vaksinen Ulven Airport,200,EU,NO,NO-12,Ulven,ENUL,,,60.1922,5.4225
ENVA,large_airport,Trondheim Airport VÃƒÂ¦rnes,56,EU,NO,NO-17,Trondheim,ENVA,TRD,,63.4578018,10.9239998
ENVD,medium_airport,VadsÃƒÂ¸ Airport,127,EU,NO,NO-20,VadsÃƒÂ¸,ENVD,VDS,,70.06529999,29.84469986
ENVE,small_airport,Valle Airfield ÃƒÂ…raksÃƒÂ¸yne,771,EU,NO,NO-09,,ENVE,,,59.031723,7.554903
ENVF,heliport,Veslefrikk B Platform,,EU,NO,NO-U-A,,ENVF,,,60.78219986,2.896110058
ENVH,heliport,Valhall A Platform,,EU,NO,NO-U-A,,ENVH,,,56.27809906,3.392780066
ENVR,heliport,VÃƒÂ¦rÃƒÂ¸y Heliport,12,EU,NO,NO-18,VÃƒÂ¦rÃƒÂ¸y,ENVR,VRY,,67.654555,12.727257
ENVY,closed,VÃƒÂ¦rÃƒÂ¸y STOLport,36,EU,NO,NO-18,VÃƒÂ¦rÃƒÂ¸y,ENVY,,,67.68920135,12.68000031
ENXA,heliport,Ekofisk A Platform,,EU,NO,NO-U-A,,ENXA,,,56.52030182,3.221390009
ENXB,heliport,Eldfisk B Platform,,EU,NO,NO-U-A,,ENXB,,,56.41859818,3.216939926
ENXC,heliport,Cod Platform,,EU,NO,NO-U-A,,ENXC,,,57.06890106,2.433330059
ENXD,heliport,Ekofisk D Platform,,EU,NO,NO-U-A,,ENXD,,,56.5625,3.084170103
ENXE,heliport,Edda Platform,,EU,NO,NO-U-A,,ENXE,,,56.46419907,3.103060007
ENXF,heliport,Albuskjell F Platform,,EU,NO,NO-U-A,,ENXF,,,56.61999893,3.05250001
ENXG,heliport,Gyda Platform,,EU,NO,NO-U-A,,ENXG,,,56.90420151,3.083610058
ENXH,heliport,Hod Platform,,EU,NO,NO-U-A,,ENXH,,,56.17580032,3.458610058
ENXJ,heliport,Valhall Flank South Platform,,EU,NO,NO-U-A,,ENXJ,,,56.22689819,3.435830116
ENXK,heliport,Ekofisk K Platform,,EU,NO,NO-U-A,,ENXK,,,56.56529999,3.20472002
ENXL,heliport,Eldfisk A Platform,,EU,NO,NO-U-A,,ENXL,,,56.37609863,3.26444006
ENXM,heliport,Embla Platform,,EU,NO,NO-U-A,,ENXM,,,56.33250046,3.246939898
ENXN,heliport,Jotun A Platform,,EU,NO,NO-U-A,,ENXN,,,59.45059967,2.365279913
ENXO,heliport,Ringhorne Platform,,EU,NO,NO-U-A,,ENXO,,,59.26670074,2.450000048
ENXP,heliport,Petrojarl Varg Platform,,EU,NO,NO-U-A,,ENXP,,,58.07830048,1.909999967
ENXQ,closed,Frigg DP2 Platform,,EU,NO,NO-U-A,,ENXQ,,,59.88560104,2.070830107
ENXR,heliport,Tambar Platform,,EU,NO,NO-U-A,,ENXR,,,56.98329926,2.958329916
ENXS,heliport,Albuskjell A Platform,,EU,NO,NO-U-A,,ENXS,,,56.64220047,2.938610077
ENXT,heliport,Tor Platform,,EU,NO,NO-U-A,,ENXT,,,56.64139938,3.325560093
ENXU,heliport,Jotun B Platform,,EU,NO,NO-U-A,,ENXU,,,59.45059967,2.365279913
ENXV,heliport,Varg Platform,,EU,NO,NO-U-A,,ENXV,,,58.07720184,1.888890028
ENXX,closed,ENOR FIR,,EU,NO,NO-U-A,,ENXX,,,57.62360001,2.847219944
ENXZ,heliport,Sleipner B Platform,,EU,NO,NO-U-A,,ENXZ,,,58.41669846,1.716670036
ENZV,large_airport,Stavanger Airport Sola,29,EU,NO,NO-11,Stavanger,ENZV,SVG,,58.87670135,5.63778019
EOD,heliport,Sabre Army (Fort Campbell) Heliport,593,NA,US,US-TN,Fort Campbell(Clarksville),EOD,,EOD,36.56819916,-87.48079681
EPAR,small_airport,ArÃ…Â‚amÃƒÂ³w Airport,1455,EU,PL,PL-PK,Bircza,EPAR,,,49.657501,22.514298
EPBA,small_airport,Bielsko Biala Airport,1319,EU,PL,PL-SL,,EPBA,,,49.80500031,19.00189972
EPBB,small_airport,BabiÃ„Â™ta,,EU,PL,PL-WN,BabiÃ„Â™ta,EPBB,,,53.6696348,21.2527366
EPBC,small_airport,Babice Airport,352,EU,PL,PL-MZ,,EPBC,,,52.26850128,20.9109993
EPBD,small_airport,Bydgoszcz Aeroklub Airfield,230,EU,PL,PL-KP,Bydgoszcz,,,,53.1031,17.955601
EPBK,small_airport,BiaÃ…Â‚ystok-Krywlany Airport,502,EU,PL,PL-PD,BiaÃ…Â‚ystok,EPBK,,,53.101398,23.170601
EPBP,medium_airport,BiaÃ…Â‚a Podlaska Airfield,485,EU,PL,PL-LU,BiaÃ…Â‚a Podlaska,EPBP,BXP,,52.00078,23.1325278
EPBS,small_airport,Borne Sulinowo Airport,469,EU,PL,PL-ZP,Borne Sulinowo,EPBS,,,53.57500076,16.52420044
EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,235,EU,PL,PL-KP,Bydgoszcz,EPBY,BZG,,53.09680176,17.97769928
EPCD,small_airport,DepuÃ…Â‚tycze KrÃƒÂ³lewskie Airport,712,EU,PL,PL-LU,,EPCD,,,51.082067,23.437014
EPCE,medium_airport,Cewice Air Base,495,EU,PL,PL-PM,LÃ„Â™bork,EPCE,,,54.416,17.7633
EPCH,small_airport,CzÃ„Â™stochowa-Rudniki,860,EU,PL,PL-SL,CzÃ„Â™stochowa,EPRU,CZW,,50.884998,19.2047
EPDA,small_airport,DarÃ…Â‚ÃƒÂ³wek Naval Air Base,10,EU,PL,PL-ZP,DarÃ…Â‚owo,EPDA,,,54.40470123,16.35309982
EPDE,medium_airport,Deblin Military Air Base,392,EU,PL,PL-LU,DÃ„Â™blin,EPDE,,,51.55139923,21.89360046
EPDR,small_airport,Ziemsko Airport,377,EU,PL,PL-ZP,Drawsko Pomorskie,EPDR,,,53.47779846,15.73079967
EPEL,small_airport,Elblag Airport,10,EU,PL,PL-WN,,EPEL,,,54.14080048,19.42329979
EPGD,large_airport,GdaÃ…Â„sk Lech WaÃ…Â‚Ã„Â™sa Airport,489,EU,PL,PL-PM,GdaÃ…Â„sk,EPGD,GDN,,54.37760162,18.46619987
EPGE,small_airport,GiÃ…Â¼e,,EU,PL,PL-WN,GiÃ…Â¼e,EPGE,,,53.982531,22.401796
EPGI,small_airport,Grudziadz Lisie Airport,121,EU,PL,PL-KP,,EPGI,,,53.5243988,18.8491993
EPGL,small_airport,Gliwice  Airport,830,EU,PL,PL-SL,,EPGL,,,50.269402,18.6728
EPGM,small_airport,GiÃ…Â¼ycko-Mazury Residence,410,EU,PL,PL-WN,GiÃ…Â¼ycko,EPGM,,,54.00645,21.81824
EPGO,closed,GÃƒÂ³raszka Airport,361,EU,PL,PL-MZ,SulejÃƒÂ³wek,EPGO,,,52.184441,21.281111
EPGY,small_airport,Grady Airport,407,EU,PL,PL-MZ,,EPGY,,,52.837058,21.77633
EPHN,small_airport,Narew,,EU,PL,PL-PD,Narew,EPHN,,,52.9087765,23.541338
EPIN,small_airport,Inowroclaw Airfield,279,EU,PL,PL-KP,,EPIN,,,52.8064,18.285801
EPIR,medium_airport,Inowroclaw Military Air Base,259,EU,PL,PL-KP,,EPIR,,,52.82939911,18.33060074
EPIW,closed,Iwonicz Airfield,971,EU,PL,PL-PK,Krosno,EPIW,,,49.657799,21.817499
EPJA,small_airport,Jastarnia Airport,3,EU,PL,PL-PM,Jastarnia,EPJA,,,54.71028137,18.64528084
EPJG,small_airport,Jelenia GÃƒÂ³ra Glider Field,1119,EU,PL,PL-DS,Jelenia GÃƒÂ³ra,EPJG,,,50.898899,15.7856
EPJL,small_airport,Laszki Field,,EU,PL,PL-PK,,EPJL,,,50.008497,22.918897
EPJS,small_airport,JeÃ…Â¼ÃƒÂ³w Sudecki Airport,1834,EU,PL,PL-DS,Jelenia GÃƒÂ³ra,EPJS,,,50.94402778,15.76652778
EPKA,small_airport,Kielce Maslow Airport,1010,EU,PL,PL-SK,Kielce,EPKA,,,50.896702,20.731701
EPKB,small_airport,Kazimierz Biskup Airport,361,EU,PL,PL-WP,,EPKB,,,52.31999969,18.17000008
EPKC,closed,KrakÃƒÂ³w Rakowice-CzyÃ…Â¼yny Airport,732,EU,PL,PL-MA,,EPKC,,,50.084353,19.99031
EPKE,small_airport,KÃˆÂ©trzyn-Wilamowo Airport,417,EU,PL,PL-WN,KÃˆÂ©trzyn,EPKE,,,54.04359818,21.43219948
EPKI,small_airport,Kikity,564,EU,PL,PL-WN,,EPKI,,,53.983056,20.877222
EPKK,large_airport,KrakÃƒÂ³w John Paul II International Airport,791,EU,PL,PL-MA,KrakÃƒÂ³w,EPKK,KRK,,50.077702,19.7848
EPKL,small_airport,Krasocin Field,820,EU,PL,PL-SK,,EPKL,,,50.898824,20.127511
EPKM,small_airport,Muchowiec Airport,909,EU,PL,PL-SL,,EPKM,,,50.23809814,19.03420067
EPKN,small_airport,Kamien Slaski Airport,683,EU,PL,PL-OP,,EPKN,,,50.529202,18.0849
EPKO,small_airport,Koszalin Zegrze Pomorskie,249,EU,PL,PL-ZP,Zegrze Pomorskie,EPKZ,OSZ,,54.0425,16.2656
EPKP,small_airport,Pobiednik Wielki Airport,650,EU,PL,PL-MA,KrakÃƒÂ³w,EPKP,,,50.08969879,20.20170021
EPKR,small_airport,Krosno Airport,922,EU,PL,PL-PK,Krosno,EPKR,,,49.68109894,21.73719978
EPKS,medium_airport,Krzesiny Military Air Base,265,EU,PL,PL-WP,,EPKS,,,52.33169937,16.96640015
EPKT,large_airport,Katowice International Airport,995,EU,PL,PL-SL,Katowice,EPKT,KTW,,50.4743,19.08
EPKW,small_airport,Bielsko-Bialo Kaniow Airfield,1316,EU,PL,PL-SL,Czechowice-Dziedzice,EPKW,QEO,,49.93999863,19.02199936
EPLE,closed,Legnica Airport,407,EU,PL,PL-DS,,EPLE,,,51.1828,16.1782
EPLK,medium_airport,Lask Military Air Base,633,EU,PL,PL-LD,,EPLK,,,51.55170059,19.17910004
EPLL,medium_airport,Ã…ÂÃƒÂ³dÃ…Âº WÃ…Â‚adysÃ…Â‚aw Reymont Airport,604,EU,PL,PL-LD,Ã…ÂÃƒÂ³dÃ…Âº,EPLL,LCJ,,51.72190094,19.3980999
EPLN,small_airport,Ã…ÂaÃ…Â„sk / GryÃ…Âºliny Airport,538,EU,PL,PL-WN,Olsztynek,EPLN,,,53.60805893,20.34444046
EPLR,small_airport,Lublin Radwiec Airfield,791,EU,PL,PL-LU,,EPLR,,,51.221901,22.394699
EPLS,small_airport,Leszno Strzyzewi Airport,312,EU,PL,PL-WP,Leszno,EPLS,,,51.83499908,16.52190018
EPLU,small_airport,Lubin Airport,512,EU,PL,PL-DS,,EPLU,,,51.42300034,16.19619942
EPLX,heliport,Lierneux / Centre Hospitalier SpÃƒÂ©cial l'Accueil Heliport,1411,EU,BE,BE-WLG,Lierneux,EBLX,,,50.286812,5.788844
EPLY,medium_airport,Leczyca Military Air Base,377,EU,PL,PL-LD,Leczyca,EPLY,,,52.00469971,19.14559937
EPMB,medium_airport,Malbork Military Air Base,16,EU,PL,PL-PM,,EPMB,,,54.02690125,19.13419914
EPMI,medium_airport,Miroslawiec Military Air Base,459,EU,PL,PL-ZP,MirosÃ…Â‚awiec,EPMI,,,53.39509964,16.08279991
EPMJ,closed,MikoÃ…Â‚ajki Airport,423,EU,PL,PL-WN,MikoÃ…Â‚ajki,EPMJ,,,53.807781,21.55583
EPML,small_airport,Mielec Airport,548,EU,PL,PL-PK,,EPML,,,50.32229996,21.46209908
EPMM,medium_airport,Minsk Mazowiecki Military Air Base,604,EU,PL,PL-MZ,,EPMM,,,52.19549942,21.65589905
EPMO,large_airport,Modlin Airport,341,EU,PL,PL-MZ,Warsaw,EPMO,WMI,,52.451099,20.6518
EPMR,small_airport,MirosÃ…Â‚awice Private Airport,495,EU,PL,PL-DS,SobÃƒÂ³tka,EPMR,,,50.95780182,16.77029991
EPMX,small_airport,Milewo,,EU,PL,PL-MZ,Milewo,EPMX,,,52.668142,20.428175
EPMY,small_airport,MyÃ…Â›libÃƒÂ³rz-GiÃ…Â¼yn Airfield,,EU,PL,PL-ZP,MyÃ…Â›libÃƒÂ³rz,EPMY,,,52.9414134,15.030036
EPNA,small_airport,Nadarzyce Air Base,,EU,PL,PL-WP,,EPNA,,,53.454885,16.48946
EPNL,small_airport,Nowy SÃ„Â…cz-Ã…Âososina Dolna Airport,830,EU,PL,PL-MA,Nowy SÃ„Â…cz,EPNL,,,49.74560165,20.62360001
EPNM,small_airport,Nowe Miasto nad Pilica Airfield,512,EU,PL,PL-MZ,Nowe Miasto nad PilicÃ„,EPNM,,,51.625,20.53499985
EPNT,small_airport,Nowy Targ Airport,2060,EU,PL,PL-MA,Nowy Targ,EPNT,,,49.462797,20.050304
EPOD,small_airport,Lotnisko Olsztyn-Dajtki,440,EU,PL,PL-WN,Olsztyn,EPOD,,,53.77295,20.414486
EPOK,medium_airport,Oksywie Military Air Base,144,EU,PL,PL-PM,Gdynia,EPOK,QYD,,54.57970047,18.51720047
EPOM,small_airport,OstrÃƒÂ³w Wielkopolski MichaÃ…Â‚kÃƒÂ³w Airport,476,EU,PL,PL-WP,OstrÃƒÂ³w Wielkopolski,EPOM,,,51.700767,17.84663
EPOP,small_airport,Opole-Polska Nowa WieÃ…Â› Airport,620,EU,PL,PL-OP,Opole,EPOP,,,50.633301,17.7817
EPPC,small_airport,PiÃ…Â„czÃƒÂ³w Airport,610,EU,PL,PL-SK,PiÃ…Â„czÃƒÂ³w,EPPC,,,50.5182991,20.51499939
EPPI,small_airport,Pila Airport,259,EU,PL,PL-WP,,EPPI,,,53.16999817,16.71249962
EPPK,small_airport,PoznaÃ…Â„-Kobylnica Airport,279,EU,PL,PL-WP,PoznaÃ…Â„,EPPK,,,52.43389892,17.044201
EPPL,small_airport,Plock Airport,331,EU,PL,PL-MZ,,EPPL,,,52.56219864,19.72139931
EPPO,large_airport,PoznaÃ…Â„-Ã…Âawica Airport,308,EU,PL,PL-WP,PoznaÃ…Â„,EPPO,POZ,,52.42100143,16.82629967
EPPR,small_airport,Pruszcz Gdanski Air Base,21,EU,PL,PL-PM,,EPPR,,,54.248001,18.6716
EPPT,small_airport,PiotrkÃƒÂ³w Trybunalski-Bujny Airport,673,EU,PL,PL-LD,PiotrkÃƒÂ³w Trybunalski,EPPT,,,51.3830986,19.688299
EPPW,medium_airport,Powidz Military Air Base,371,EU,PL,PL-WP,,EPPW,,,52.379398,17.853901
EPRA,medium_airport,Radom Airport,610,EU,PL,PL-MZ,Radom,EPRA,RDO,,51.3891983,21.21330071
EPRG,small_airport,Rybnik-Gotarowice Glider Airport,840,EU,PL,PL-SL,Rybnik,EPRG,,,50.07080078,18.62829971
EPRJ,small_airport,RzeszÃƒÂ³w Airport,655,EU,PL,PL-PK,RzeszÃƒÂ³w,EPRJ,,,50.105301,22.0481
EPRP,small_airport,Radom-PiastrÃƒÂ³w Glider Field,479,EU,PL,PL-MZ,Radom,EPRP,,,51.478901,21.110001
EPRS,small_airport,Sochaczew-Rybno,280,EU,PL,PL-MZ,Rybno,EPRS,,,52.242789,20.126579
EPRZ,medium_airport,RzeszÃƒÂ³w-Jasionka Airport,693,EU,PL,PL-PK,RzeszÃƒÂ³w,EPRZ,RZE,,50.110001,22.018999
EPSC,medium_airport,"Szczecin-GoleniÃƒÂ³w ""SolidarnoÃ…Â›Ã„Â‡"" Airport",154,EU,PL,PL-ZP,Goleniow,EPSC,SZZ,,53.58470154,14.90219975
EPSD,small_airport,Szczecin-DÃ„Â…bie Airport,3,EU,PL,PL-ZP,Szczecin,EPSD,,,53.39210129,14.63379955
EPSJ,small_airport,Sobienie Field,,EU,PL,PL-MZ,,EPSJ,,,51.951142,21.35253
EPSK,closed,Redzikowo Air Base,217,EU,PL,PL-PM,,EPSK,OSP,,54.47890091,17.10750008
EPSN,medium_airport,Swidwin Military Air Base,385,EU,PL,PL-ZP,,EPSN,,,53.79059982,15.82629967
EPSO,small_airport,Sochaczew Air Base,259,EU,PL,PL-MZ,,,,,52.198601,20.292801
EPSR,small_airport,SÃ…Â‚upsk-KrÃˆÂ©pa Airfield,249,EU,PL,PL-PM,SÃ…Â‚upsk,EPSR,,,54.408298,17.0956
EPSS,small_airport,Ã…Âšwidnica - KrzczonÃƒÂ³w Airstrip,833,EU,PL,PL-DS,,EPSS,,,50.8171823,16.5818641
EPST,small_airport,Stalowa Wola-Turbia Airport,489,EU,PL,PL-PK,Stalowa Wola,EPST,,,50.626598,21.997848
EPSU,small_airport,SuwaÃ…Â‚ki Airport,581,EU,PL,PL-PD,SuwaÃ…Â‚ki,EPSU,,,54.07279968,22.89920044
EPSW,small_airport,Ã…Âšwidnik Airfield,659,EU,PL,PL-LU,Lublin,EPSL,,,51.231899,22.6903
EPSY,medium_airport,Olsztyn-Mazury Airport,463,EU,PL,PL-WN,Olsztyn,EPSY,SZY,,53.481899,20.9377
EPTM,medium_airport,Tomaszow Mazowiecki Military Air Base,571,EU,PL,PL-LD,TomaszÃƒÂ³w Mazowiecki,EPTM,,,51.58440018,20.0977993
EPTO,small_airport,Torun Airport,164,EU,PL,PL-KP,,EPTO,,,53.02920151,18.54590034
EPWA,large_airport,Warsaw Chopin Airport,362,EU,PL,PL-MZ,Warsaw,EPWA,WAW,,52.16569901,20.96710014
EPWK,small_airport,WÃ…Â‚ocÃ…Â‚awek-Kruszyn Airport,220,EU,PL,PL-KP,WÃ…Â‚ocÃ…Â‚awek,EPWK,,,52.58470154,19.0156002
EPWR,large_airport,Copernicus WrocÃ…Â‚aw Airport,404,EU,PL,PL-DS,WrocÃ…Â‚aw,EPWR,WRO,,51.10269928,16.88579941
EPWS,small_airport,WrocÃ…Â‚aw-SzymanÃƒÂ³w Airport,390,EU,PL,PL-DS,WrocÃ…Â‚aw,EPWS,,,51.20610046,16.99860001
EPZA,small_airport,ZamoÃ…Â›Ã„Â‡-Mokre Airport,751,EU,PL,PL-LU,ZamoÃ…Â›Ã„Â‡,EPZA,,,50.7016983,23.20439911
EPZB,small_airport,Zborowo,268,EU,PL,PL-WP,,EPZB,,,52.36205556,16.63872222
EPZG,medium_airport,Zielona GÃƒÂ³ra-Babimost Airport,194,EU,PL,PL-LB,Babimost,EPZG,IEG,,52.13850021,15.7986002
EPZK,small_airport,Konopnica,,EU,PL,PL-LD,Konopnica,EPZK,,,51.3601786,18.8220574
EPZN,small_airport,Tomaszowo Airport,459,EU,PL,PL-LB,Zagan,EPZN,,,51.62749863,15.4083004
EPZP,small_airport,Zielona GÃƒÂ³ra-Przylep Airport,249,EU,PL,PL-LB,Zielona GÃƒÂ³ra,EPZP,,,51.97890091,15.46389961
EPZR,small_airport,Ã…Â»ar Airport,1260,EU,PL,PL-SL,MiÃ„Â™dzybrodzie  Ã…Â»ywieckie,EPZR,,,49.77109909,19.21809959
ER-0001,small_airport,Dahalak Island Airfield,,AF,ER,ER-SK,,,,,15.68151,40.104431
ERO,heliport,Eldred Rock Cg Heliport,33,NA,US,US-AK,Eldred Rock,ERO,,ERO,58.97109985,-135.2369995
ERT,small_airport,Erdenet Airport,4200,AS,MN,MN-035,Erdenet,,ERT,,48.98305556,104.1505556
ES-0001,small_airport,Trebujena Airfield,12,EU,ES,ES-AN,Trebujena,LETJ,,,36.85888889,-6.139166667
ES-0002,small_airport,VinarÃƒÂ²s Airfield,364,EU,ES,ES-CS,VinarÃƒÂ²s,,,,40.51972222,0.390277778
ES-0003,heliport,Banco de EspaÃƒÂ±a Helipad,,EU,ES,ES-M,Madrid,,,,40.41791317,-3.694919944
ES-0004,heliport,Huerta Otea Helipad,,EU,ES,ES-SA,Salamanca,,,,40.96446243,-5.683686733
ES-0005,heliport,Salamanca Fire Station Helipad,,EU,ES,ES-SA,Salamanca,,,,40.97931287,-5.660118163
ES-0006,small_airport,Rosinos de la Requejada Airport,3330,EU,ES,ES-ZA,Santiago de la Requejada,,,,42.0981,-6.5262
ES-0007,small_airport,Torremocha de Jiloca Airport,3346,EU,ES,ES-TE,Torremocha de Jiloca,,,,40.6032,-1.265
ES-0008,small_airport,Herrera de Pisuerga Airport,2958,EU,ES,ES-P,Herrera de Pisuerga,,,,42.5923,-4.2902
ES-0009,small_airport,Villoldo Airport,2700,EU,ES,ES-P,Villoldo,,,,42.2655,-4.6479
ES-0010,small_airport,Xinzo de Limia Airport,2024,EU,ES,ES-OR,Xinzo de Limia,,,,42.1045,-7.7118
ES-0011,small_airport,Chaira Airport,1946,EU,ES,ES-OR,BaÃƒÂ±os de Molgas,,,,42.23282,-7.6448
ES-0012,small_airport,Castriz/Cambe Airfield,1210,EU,ES,ES-C,Santa Comba,,,,43.102502,-8.7617
ES-0013,small_airport,Godos Airport,45,EU,ES,ES-PO,Caldas de Reis,,,,42.5787,-8.6968
ES-0014,small_airport,Monforte Airport,1078,EU,ES,ES-OR,Monforte de Lemos,,,,42.547,-7.5191
ES-0015,small_airport,Pozo CaÃƒÂ±ada,2700,EU,ES,ES-AB,Albacete,,,,38.798137,-1.726842
ES-0016,small_airport,Club Aernautic Catalunya,,EU,ES,ES-B,,,,,41.750278,2.611389
ES-0017,small_airport,Aeroclub CÃƒÂ¡ceres,1350,EU,ES,ES-EX,La Cervera,,,,39.329167,-6.343611
ES-0018,small_airport,AeroSidonia,,EU,ES,ES-AN,,,,,36.44026,-5.94093
ES-0019,small_airport,Campo de AviaciÃƒÂ³n de Ablitas,,EU,ES,ES-NA,,,,,42.0032781,-1.6203155
ES-0020,small_airport,AerÃƒÂ²drom de Pals,,EU,ES,ES-CT,,,,,42.0069903,3.1519175
ES-0021,small_airport,AerÃƒÂ²drom d'Avinyonet,,EU,ES,ES-CT,,,,,41.3679849,1.7668666
ES-0022,small_airport,ULM de Dolores,,EU,ES,ES-A,,,,,38.1573628,-0.7779122
ES-0023,heliport,Basa AÃƒÂ©rea de Valencia-BÃƒÂ©tera,414,EU,ES,ES-V,BÃƒÂ©tera,LEBT,,,39.62447,-0.472576
ES-0024,small_airport,Ultralight Aeroclub MÃƒÂ¼ller,,EU,ES,ES-AN,Vera,,,,37.26076,-1.85236
ES-0025,small_airport,Aerodromo de Figueira dos Cavaleiros,262,EU,PT,PT-02,Ferreira do Alentejo,LPFC,,,38.077502,-8.235832
ES-0026,small_airport,Camp de Vol de Palafolls,,EU,ES,ES-GE,,,,,41.687222,2.748056
ES-0027,small_airport,Aerodromo El Judio,,EU,ES,ES-AN,,,,,37.840394,-4.7096584
ES-0028,small_airport,AeroCieza,,EU,ES,ES-MU,,,,,38.32305,-1.456967
ES-0029,small_airport,Fuenterrobles,,EU,ES,ES-V,,,,,39.56601,-1.36225
ES-0030,small_airport,Valle AmblÃƒÂ©s,3543,EU,ES,ES-CL,El Fresno,,,,40.604722,-4.790278
ES-0031,small_airport,La Segarra Airfield,2200,EU,ES,ES-L,Sant Guim de Freixenet,,,,41.681294,1.414266
ES-0032,small_airport,Aerodromo de Monteplano,,EU,ES,ES-NA,Tafalla,,,,42.4939531,-1.7008017
ES-0033,small_airport,AerohÃƒÂ­spalis,140,EU,ES,ES-SE,Mairena del Alcor,LEAH,,,37.3297,-5.722783
ES-0034,small_airport,AeroNiebla,100,EU,ES,ES-H,Niebla,,,,37.349722,-6.683889
ES-0035,small_airport,Aeroclub Mar Menor,289,EU,ES,ES-MU,San Javier,LELG,,,37.845278,-0.881111
ES-0036,small_airport,Aeroclub Totana,,EU,ES,ES-MU,Totana,,,,37.753083,-1.4487
ES-0037,small_airport,Aeroclub Alto Palancia,,EU,ES,ES-V,Sot de Ferrer,,,,39.7986111,-0.42
ES-0038,closed,Berbinzana,,EU,ES,ES-NA,,,,,42.5225,-1.803889
ES-0039,small_airport,AerÃƒÂ³dromo de AlcazarÃƒÂ©n,2526,EU,ES,ES-CL,AlcazarÃƒÂ©n,,,,41.3727778,-4.6958333
ES-0040,small_airport,Zalduendo ULM,1936,EU,ES,ES-PV,Zalduondo,,,,42.873599,-2.337437
ES-0041,small_airport,AerÃƒÂ³dromo de Casas de Juan Gil,,EU,ES,ES-AB,Carcelen,,,,39.1329131,-1.2636747
ES-0042,small_airport,AerÃƒÂ³dromo de Las CaÃƒÂ±adillas,3675,EU,ES,ES-AB,Molinicos,,,,38.5019808,-2.270097
ES-0043,small_airport,La MontaÃƒÂ±a ULM,1050,EU,ES,ES-A,Alcocer de Planes,,,,38.80213,-0.3984167
ES-0044,small_airport,AerÃƒÂ³dromo de la Curiscada,2241,EU,ES,ES-O,Tineo,,,,43.33301667,-6.3785
ES-0045,small_airport,Base AÃƒÂ©rea Las Navas,,EU,ES,ES-CL,Medina de Pomar,,,,42.953642,-3.473773
ES-0046,small_airport,AerÃƒÂ³dromo de TrasmirÃƒÂ¡s,,EU,ES,ES-GA,TrasmirÃƒÂ¡s,,,,42.0517681,-7.5986285
ES-0047,small_airport,AerÃƒÂ³dromo de Reboira,,EU,ES,ES-GA,Reboira,,,,43.1782148,-7.0494408
ES-0048,small_airport,AerÃƒÂ³dromo de GÃƒÂ©rgal,2559,EU,ES,ES-AL,GÃƒÂ©rgal,,,,37.12557,-2.595571
ES-0049,small_airport,AerodrÃƒÂ³mo de SanchidriÃƒÂ¡n,2789,EU,ES,ES-AV,SanchidriÃƒÂ¡n,,,,40.89995,-4.609617
ES-0050,small_airport,AerÃƒÂ³dromo de Villaconejos,,EU,ES,ES-M,Villaconejos,,,,40.0969757,-3.5083487
ES-0051,small_airport,AerÃƒÂ³dromo de BinÃƒÂ©far,1312,EU,ES,ES-AR,BinÃƒÂ©far,LEBF,,,41.853613,0.254904
ES-0052,small_airport,AerÃƒÂ³dromo de Viver,,EU,ES,ES-CS,Viver,,,,39.95398,-0.623243
ES-0053,small_airport,Base BRICA de CÃƒÂ¡rtama,,EU,ES,ES-AN,CÃƒÂ¡rtama,,,,36.722785,-4.700446
ES-0054,small_airport,Aerodromo de Villanueva de Gallego,,EU,ES,ES-AR,Villanueva de Gallego,,,,41.7856,-0.8480333
ES-0055,small_airport,AerÃƒÂ³dromo de Antequera,1903,EU,ES,ES-AN,Antequera,,,,37.10165,-4.5625667
ES-0056,small_airport,AerodrÃƒÂ³mo de la Calderina,3281,EU,ES,ES-CM,,,,,39.296287,-3.831152
ES-0057,small_airport,Ses Salines (SÃ¢Â€Â™OlivÃƒÂ³) Airfield,164,EU,ES,ES-PM,Ses Salines,,,,39.346746,3.057199
ES-0058,small_airport,Vilafranca de Bonany-Es cruce Airfield (Aerodromo Mallorca),233,EU,ES,ES-IB,,,,,39.576801,3.124647
ES-0059,small_airport,AerÃƒÂ³drom de Binissalem,361,EU,ES,ES-IB,,,,,39.681743,2.878053
ES-0060,seaplane_base,Pollensa Sea Plane Base,0,EU,ES,ES-IB,,LEPO,,,39.908121,3.101912
ES-0061,small_airport,AerÃƒÂ³dromo de Son AlbertÃƒÂ­ (Llucmajor),300,EU,ES,ES-IB,,,,,39.410395,2.863864
ES-0062,small_airport,AerÃƒÂ³dromo de Royanejos,722,EU,ES,ES-EX,,,,,38.979917,-6.345167
ES-0063,small_airport,AerÃƒÂ²drom del Pla de Bages,886,EU,ES,ES-CT,Sallent,,,,41.777586,1.890361
