Agency Name,DSGN_CODE,DBA,Cert_No,Address Line 1,Address Line 2,Address Line 3,City,State/Province,Country ,Postal Code,Agency Phone Number,Agency Email,Accountable Manager,Accountable Manager Phone Number,Accountable Manager Email,Liaison,Liaison Phone Number,Liaison Email,Rating - Accessory,Rating - Airframe,Rating - Instrument,Rating - Limited,Rating - Powerplant,Rating - Propeller,Rating - Radio,Bilateral Agreements,Update_Date,
AIRFOIL TECHNOLOGY INC,A70R,,A70R177N,661 N. MONTEREY STREET #5,,,GILBERT,AZ,UNITED STATES,85233,,,"TUFAIL, ZAHID",,ztairfoil@airfoiltechnology.com,"TUFAIL, ZAHID",4804970864,ztairfoil@airfoiltechnology.com,,,,,Limited,,,,3/9/2026,
AIRFOILS ADVANCED SOLUTIONS,4F0Y,,4F0Y570D,35 RUE DE L'EPAU,,,ROSULT,,FRANCE,59230,330612581799,sebastien.guedon@airfoils-as.com,"DUBOIS, LAURENT",33(0)684623622,laurent.dubois@airfoils-as.com,,,,Limited,,,,,,,,3/9/2026,sebastien.guedon@airfoils-as.com
"AIRFORCE TURBINE SERVICE, LTD.",TQZR,DBA AIRFORCE TURBINE SERVICE,TQZR133K,11557 HWY. 359,,,MATHIS,TX,UNITED STATES,78368,,,"LARA, AUGUSTINE",3615473446,augustine.lara@pt6a.aero,"MEDRANO, TED",3615473386,ted.medrano@pt6a.aero,,,,NonDestructiveTst,Limited,,,EASA,3/9/2026,
AIRFRAME COMPONENTS BY WILLIAMS INC,WWFR,,WWFR300K,9838 N1100E,,,KENDALLVILLE,IN,UNITED STATES,46755,,,"WILLIAMS, ROY S.",2603470807,roy@airframecomponents.com,"WILLIAMS, ROY S.",2603470807,,,Limited,,,,,,EASA,3/9/2026,
AIRFRAME SYSTEMS LLC,41FR,,41FR543D,4650 AIRPORT PARKWAY,,,ADDISON,TX,UNITED STATES,75001,6318358922,rickfarmer1@yahoo.com,"FARMER, RICHARD",,,RICHARD FARMER,6318358922,rickfarmer1@yahoo.com,,Limited,Limited,,,,Limited,,3/9/2026,rickfarmer1@yahoo.com
AIRGROUP DYNAMICS INC,Y4DR,,Y4DR331Y,7100 TPC DRIVE,SUITE 200,,ORLANDO,FL,UNITED STATES,32822,7345161408,roushair@earthlink.net,"ARCE, ALBERT",3212350859,,"ALMAGUER, HUMBERTO",3212350859,humberto@adiaero.com,"Class 1, Limited",,,Landing Gear,,,,"EASA, United Kingdom",3/9/2026,roushair@earthlink.net
AIRLIFT HYDRAULICS INC,FT1R,,FT1R152K,388 WOODCLEFT AVENUE,,,FREEPORT,NY,UNITED STATES,11530,,,"PORTILLO, MAURO",,,"KAVANAUGH, TARA MARIE",6312357640,tkavanaugh@magroup.net,,Limited,,"Landing Gear, NonDestructiveTst, SpecializedService",,,,,3/9/2026,
"AIRLINE ACCESSORY SERVICE COMPANY, LLC",L0KR,,L0KR782Y,455 PUTNAM AVENUE,,,HAMDEN,CT,UNITED STATES,06517,,,"BLOMBERG, LANCE C.",,,"BLOMBERG,  LANCE CARY",2037731808,lance@airlineaccessory.com,Limited,Limited,,"Equipment, Landing Gear, NonDestructiveTst",Limited,,,EASA,3/9/2026,
"AIRLINE COMPONENT PARTS, LLC",A47R,,A47R475J,1111 STANLEY DRIVE,,,EULESS,TX,UNITED STATES,76040,8173544144,ssophabmixay@aereos.com,"SOPHABMIXAY, SETTHA",,,"SOPHABMIXAY, SETTHA",8173544144,ssophabmixay@acprepairs.com,"Class 1, Class 2, Class 3",,,,Limited,,,,3/9/2026,ssophabmixay@aereos.com
AIRLINE CONTAINER LEASING AIRSHOP,96CY,,96CY684C,1127-8 KICHIOKA,NARITA-SHI,,CHIBA-KEN,,JAPAN,287-0225,,,"HODZIC, HALIMA",,,"HODZIC, HALIMA",,hhodzic@aclairshop.com,,Limited,,,,,,,3/9/2026,
AIRLINE TECH REPS LLC,Q6TR,DBA STS LINE MAINTENANCE,Q6TR841X,4831 W. ROYAL LANE,SUITE A,,IRVING,TX,UNITED STATES,75063,8179942191,williams.ahern@stslm.com,"AHERN, WILLIAM JOSEPH JR",,,WILLIAM J. AHERN JR.,4705992265,william.ahern@stslm.com,,Limited,,,Limited,,Limited,"EASA, TCCA (Canada)",3/9/2026,williams.ahern@stslm.com
AIRMARK COMPONENTS,WZ4R,,WZ4R640M,2701 SW 2ND AVENUE,,,FT. LAUDERDALE,FL,UNITED STATES,33315,,,"MORITZ, LOUIS P",,,"MORITZ, LOUIS P.",9545225370,kaxelander@airmarkcomponents.com,"Class 1, Class 2, Class 3",,,"NonDestructiveTst, SpecializedService",,,,EASA,3/9/2026,
AIRMARK OVERHAUL INC,JL4R,,JL4R288M,6001 N.W. 29TH  AVE.,,,FORT LAUDERDALE,FL,UNITED STATES,33309,,,"WILLIAMS, DAVID",9549703200,airmarkoh@aol.com,"WILLIAMS, DAVID W.",9549703200,airmarkoh@aol.com,"Class 1, Class 2",,,NonDestructiveTst,"Class 1, Class 2",,,EASA,3/9/2026,
AIRMETRICS INC,SDAR,,SDAR165E,13540 NEW AIRPORD RD UNIT G2,,,AUBURN,CA,UNITED STATES,95602,,,"EMMETT, CORY",,,CORY EMMETT,,cory@airmetrics.aero,,Limited,Limited,,,,Limited,,3/9/2026,
AIRNET II LLC,BSYR,,BSYR610C,7250 STAR CHECK DR. SUITE 1B,,,COLUMBUS,OH,UNITED STATES,43217,,,"SIEDLER, MICHAEL LEE",,,"SIEDLER, MICHAEL",6144094857,<mark.fullen@airnet.com>,Limited,"Class 1, Class 3, Limited",Limited,,Limited,,"Class 1, Class 2, Class 3",,3/9/2026,
"AIRO INDUSTRIES, COMPANY",QIRR,,QIRR250L,429 JESSIE STREET,,,SAN FERNANDO,CA,UNITED STATES,91340,8188381008,,"SALEM, BAHRAM",8188381008,,SAM CAMARILLO,8188381008,sam@airoindustries.com,Limited,Limited,,,,,,EASA,3/9/2026,
AIROD AEROSPACE TECHNOLOGY SDN BHD,33AY,,33AY686Y,"HANGAR 77, PT 192","JALAN LAPANGAN TERBANG SUBANG,",,SUBANG,,MALAYSIA,47200,+60378464488,,"BIN ABDUL RAHIM, FIRHAD UZIR",,,IZWEEN ASRAF BIN AHMAD NAZRI,,izween.asraf@airodaerospace.com,,Limited,,NonDestructiveTst,Limited,Limited,,,3/9/2026,
AIROPTIONS AVIATION INC,L5RR,,L5RR704Y,145 JOHN GLENN DRIVE,,,CONCORD,CA,UNITED STATES,94520,,,"BRUNO, MICHAEL J",9253836900,michael@sterlingav.com,"BRUNO, MICHAEL",9256762100,michael@sterlingav.com,,"Class 3, Limited",Limited,,Limited,,Limited,,3/9/2026,
"AIRPAC ENTERPRISES, INC",X13R,,X13R131Y,21133 SUPERIOR STREET,,,CHATSWORTH,CA,UNITED STATES,91311,8189796090,lisa@airpacx.com,"RAJIC, LISA",,,"RAJIC, LISA",8189796090,,,Limited,,,,,,EASA,3/9/2026,lisa@airpacx.com
"AIRPORT RADIO, LLC",XPRR,DBA TECH AVIATION SERVICES,XPRR648K,WILKES-BARRE/SCRANTON AIRPORT,101 HANGAR ROAD,,AVOCA,PA,UNITED STATES,18641,5709489274,,"GALLAGHER, JESSE",,,"JENSEN, MATTHEW",5709489274 EXT. 9288,mjensen@techaviation.com,,Limited,Limited,,Limited,Limited,Limited,,3/9/2026,
AIRQUEST AVIATION L.P.,Q3ER,DBA AIRQUEST AVIATION,Q3ER924K,485 AIRPORT ROAD,,,BUTLER,PA,UNITED STATES,16002,7245866023,,"STEELE, MATTHEW",,,"STEELE, MATTHEW",7245866023 EXT. 314,m_steele@airquestaviation.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,
AIRREADY MRO SERVICES INC,11BR,DBA NONE,11BR965Y,580 CIRCLE DRIVE,,,MELBOURNE,AR,UNITED STATES,72556,8703680003,pburgess@airreadymro.com,"BURGESS, PAUL",,,"BURGESS, PAUL",8703680003,pburgess@airreadymro.com,Limited,Limited,,NonDestructiveTst,,,,"EASA, United Kingdom",3/9/2026,pburgess@airreadymro.com
AIRRESOURCE GROUP LLC,3A1R,,3A1R745M,935 CAUDLE AVE,,,SPRINGDALE,AR,UNITED STATES,72764,4794264017,,"BARTON, THOMAS W.",4799361808,,"BARTON,THOMAS",4794195862,tom@airresourcegroup.com,,Limited,Limited,,,,Limited,,3/9/2026,
AIRSAFE SWEDEN AB,73AY,,73AY676C,MELLANGARDEN 3,SE-194 28 UPPLANDS,,VASBY,,SWEDEN,SE-194 28,"+46 8 594112 68,",pontus.markeryd@airsafe.se,"NAGY, GABOR",+46 706905342,gabor.nagy@airsafe.se,,,,Limited,,,Landing Gear,,,,,3/9/2026,pontus.markeryd@airsafe.se
AIRTEC INC,951R,,951R081D,44144 AIRPORT ROAD,HANGAR AA,,CALIFORNIA,MD,UNITED STATES,20619,3013732101,,"COUNTS, DAVID",,dcounts@flyairtec.com,"COUNTS, DAVID",3013732101,,,Limited,Limited,,,,Limited,,3/9/2026,
AIRTECH COMPASS SERVICES INC,SL1R,,SL1R484K,1160 BRUSH CREEK RD.,,,ARGYLE,TX,UNITED STATES,76226,,,"TANNER, RICHARD W.",,,"TANNER, RICHARD W.",9403808077,airtechcompass@verizon.net,,,Limited,,,,,,3/9/2026,
"AIRTEGRITY AVIATION, LLC",8DHR,,8DHR887C,169 FIELD MAINTENANCE DRIVE,,,ERLANGER,KY,UNITED STATES,41018,7609856489,,"GAWSYSZAWSKI, JOHN",,johng@airtegritymro.com,"GAWSYSZAWSKI, KEITH",7608854110,keithg@airtegritymro.com,,Limited,,,Limited,,,,3/9/2026,
AIRTOMIC,OZDR,,OZDR901X,75 LINVILLE WAY,,,FRANKLIN,IN,UNITED STATES,46131,3177380148,emmartin@rbcbearings.com,"CALLAWAY, MIKE",,,"MARTIN,  MICHELLE",3177380148 EXT. 7780,emmartin@rbcbearings.com,,Limited,,,Limited,,,EASA,3/9/2026,emmartin@rbcbearings.com
"AIRTRONICS PLUS, LLC",JW5R,DBA AIRTRONICS,JW5R977M,CARTER-PULASKI AIRPORT,3736 STATE HIGHWAY 32,,PULASKI,WI,UNITED STATES,54162,9208223644,,"SCHERER, STEVE",,,"KOSTLEVY,  FRANK",7158232161,info@airtronicsplus.com,,Limited,Limited,,Limited,,"Class 1, Class 2, Class 3",,3/9/2026,
"AIRTRONICS, INC",VK3R,,VK3R922L,1822 S. RESEARCH LOOP RD.,,,TUCSON,AZ,UNITED STATES,85710,5208813982,,"SMITH, BRAD",,,JONATHON BROWN,5208813982,jbrown@airtronicsinc.com,"Class 1, Class 2, Class 3",,"Class 1, Class 2, Class 3",,,,"Class 1, Class 2, Class 3",,3/9/2026,
"AIRWAY AEROSPACE, LLC",19LR,,19LR020B,2150 NW 95TH AVENUE,,,DORAL,FL,UNITED STATES,33172,,,"FERRER, JOE M.",3056846666,,"ORTIZ,  MIGUEL",9892543033,quality@airwaysaerospace.com,Limited,Limited,,,Limited,,,"EASA, United Kingdom",3/9/2026,
AIRWAYS AVIATION INC,AWOR,DBA AIRWAYS AVIATION CENTER,AWOR120N,2002 AIRPORT ROAD,,,GRAND RAPIDS,MN,UNITED STATES,55744,,,"UHLENHOPP, KARL",2183261226,,"DROTTS, DAN",2183261226,airways@paulbunyon.net,,Limited,,Floats,Limited,,,,3/9/2026,
AIRWERKS LLC,AWRR,,AWRR150E,4220 TARMAC WAY,,,SANFORD,FL,UNITED STATES,32773,5615430176,airwerksllc@gmail.com,"GREGG, CHARLES",,,CHARLES GREGG,5615430176,,,Limited,Limited,,,,Limited,,3/9/2026,airwerksllc@gmail.com
AIRWOLF AEROSPACE LLC,A4WR,,A4WR520W,15369 MADISON RD.,,,MIDDLEFIELD,OH,UNITED STATES,44062,,,"KOCHY, JOHN",4406321687,,"KOCHY, JOHN P.",4406321687,john@airwolfaerospace.com,,,,SpecializedService,,,,,3/9/2026,
AIRWORTHY  INC,E1I4,"DBA AIRWORTHY AEROSPACE INDUSTRIES
   INDUSTRIES INC.",E1I4712Y,4270 CORAL RIDGE DRIVE,,,CORAL SPRINGS,FL,UNITED STATES,33065,,,"ROULEAU, JAMES",,,JUAN CORCHUELO,9545139367,,,Limited,,,,,,,3/9/2026,
AIRWORTHY INC,O0DR,,O0DR919X,"1330 POST & PADDOCK, SUITE 500",,,GRAND PRAIRIE,TX,UNITED STATES,75050,,,"ROULEAU, JIM",,,PAUL ADAMS,7153434150,padams@airworthy.aero,,Limited,,,,,,,3/9/2026,
"AIRWORTHY,  INC",E1IR,"DBA AIRWORTHY AEROSPACE INDUSTRIES,
   INDUSTRIES, INC.",E1IR712Y,2020 O'NEIL ROAD,,,HUDSON,WI,UNITED STATES,54016,,,"ROULEAU, JAMES",,,"ADAMS, PAUL",7153860969,padams@airworthy.aero,Limited,,,"Equipment, NonDestructiveTst",,,,,3/9/2026,
AIRWORX LLC,AIRR,DBA AIRWORX AVIATION,AIRR909D,7139 JIMMY SELLERS RD.,,,BREWTON,AL,UNITED STATES,36426,,,"COLLUM, CHRISTOPHER DAVID",,,DAVID COX,2058092959,david@airworxaviation.com,,,,NonDestructiveTst,Limited,,,,3/9/2026,
"AITKIN AVIATION, LLC",5A7R,,5A7R193C,1190 AIR PARK DRIVE,,,AITKIN,MN,UNITED STATES,56431,2189274104,adventurenorthllc@gmail.com,"FORSBERG, ADAM JASON",,,"FORSBERG, ADAM J.",2189274104,,,Limited,,,Limited,,,,3/9/2026,adventurenorthllc@gmail.com
"AIX, LLC",CI4R,,CI4R103M,8881 GOLOVIN STREET,,,ANCHORAGE,AK,UNITED STATES,99507,,,"MILLAR, DONALD M.",,,"MILLAR, DONALD M",9073444061,aixakllc@gmail.com,,,,NonDestructiveTst,,,,,3/9/2026,
AJW TECHNIQUE EUROPE LTD.,3R5Y,,3R5Y400D,"THE BUSINESS PARK, MAYDWELL AVENUE",,,SLINFOLD,ENG,UNITED KINGDOM,RH13 0AS,+441403798164,frankie.mckeown@ajw-group.com,"MCKEOWN, FRANKIE",+441403798164,frankie.mckeown@ajw-group.com,WARWICK GERBER,,robert.dallman@ajw-group.com,Limited,,,,,,,,3/9/2026,frankie.mckeown@ajw-group.com
"AK-STRUCTURES, LLC",AR2R,,AR2R700K,6900 NW 63RD ST.,,,BETHANY,OK,UNITED STATES,73008,4057871545,,"HERRELL, DEREK",,,"DEREK, HERRELL",4057871545,derekherrell@akstructures.com,,Limited,,"NonDestructiveTst, SpecializedService",,,,EASA,3/9/2026,
ALAMO PLATING AND METAL FINISHING LTD,7RAR,,7RAR208B,9230 CONVERSE BUSINESS LANE,,,CONVERSE,TX,UNITED STATES,78109,2106584024,jana@alamoplating.com,"WALLACE, JANA L",2106584024,jana@alamoplating.com,"WALLACE, JANA",2106584024,jana@alamoplating.com,Limited,Limited,,SpecializedService,,,,,3/9/2026,jana@alamoplating.com
ALASKA AIR POWER INC,K0KR,,K0KR393Y,25037,SIERRA MESA CIRCLE,,CHUGIAK,AK,UNITED STATES,99567,,,"KNECHT, KENNETH L.",9076885051,,JIM PINKLEY,9076885051,,Limited,,,,Class 1,,,,3/9/2026,
"ALASKA AIRCRAFT SALES, INC",UGZR,,UGZR085W,4131  FLOAT PLANE,ANCHORAGE INTERNATIONAL AIRPORT,,ANCHORAGE,AK,UNITED STATES,99502,,,"ZERKEL, KEENAN",,,"ZERKEL, KEENAN",9072431966,sales@akaircraftsales.com,,"Class 1, Class 3",,,"Class 1, Limited",,,,3/9/2026,
"ALASKA LASER ABLATION, LLC",AB2R,,AB2R727E,1072 DOLPHIN WAY,,,FAIRBANKS,AK,UNITED STATES,99709,9078886606,riley@alaskalaserablation.com,"SCHAEFER, RILEY E",9078886606,riley@alaskalaserablation.com,,,,,Limited,,SpecializedService,,,,,3/9/2026,riley@alaskalaserablation.com
ALASKAN AIRCRAFT ENGINES,CY4R,,CY4R119M,2425 MERRILL FIELD DRIVE,,,ANCHORAGE,AK,UNITED STATES,99501,,,"ALSWORTH, ANTHONY",9072723581,tony@alaskanaircraftengines.com,"ALSWORTH, JOHN",9077273581,,Limited,Limited,,NonDestructiveTst,Class 1,,,,3/9/2026,
ALBANY AEROSTRUCTURES COMPOSITES LLC,QO5R,DBA ALBANY ENGINEERED COMPOSITES,QO5R152N,506 NORTH BILLY MITCHELL ROAD,,,SALT LAKE CITY,UT,UNITED STATES,84116,,,"WINWARD, DAVID REED",,,DAVID WINWARD,8015366289,,,Limited,,,,,,,3/9/2026,
ALBERT LEA AIRPORT INC,UFBR,,UFBR699L,400 AIRPORT ROAD,,,ALBERT LEA,MN,UNITED STATES,56007,5073730608,jimhanson@deskmedia.com,"HANSON, JAMES",,jimhanson73@me.com,DAN OLSON,5073730608,jimhanson@deskmedia.com,,,Limited,,,,Limited,,3/9/2026,jimhanson@deskmedia.com
ALBUQUERQUE BALLOON CENTER INC,RG1R,DBA AERCO,RG1R451K,"ALBUQUERQUE BALLOON CENTER, INC.","523 RANKIN ROAD, NE",,ALBUQUERQUE,NM,UNITED STATES,87107,,,"EICHHORN, DAVID J.",5053445844,david@aercoballoon.com,"EICHHORN, DAVID J.",5053445844,david@aercoballoon.com,,Limited,Limited,,,,,,3/9/2026,
ALCA AVIONICS INC,L3CR,,L3CR595J,14300 SW 129 ST. SUITE 102,,,MIAMI,FL,UNITED STATES,33186,,qc@alcaavionics.com,"CAMPO, RODOLFO",,,"GARCIA CARRILLO, LEOPOLDO FEDERICO",3056871799,lgarcia@alcaavionics.com,,Limited,Limited,,,,Limited,,3/9/2026,qc@alcaavionics.com
ALCOCER LTD,8AKR,DBA A&C PRODUCTS,8AKR767B,9521 MIDDLEX DRIVE,,,SAN ANTONIO,TX,UNITED STATES,78217,2109304580,richard.garcia@acproducts.net,"GARCIA, RICHARD",2109304580,richard.garcia@acproducts.net,,,,Limited,,,,,,,EASA,3/9/2026,richard.garcia@acproducts.net
ALE SERVICE CENTER S. DE R.L. DE C.V.,UQXZ,,UQXZ990X,AEROPUERTO INTERNACIONAL DEL NORTE,CARRETERA A SALINAS,,APODACA,NL,MEXICO,66605,,,"GOMEZ, MARCO",+525523135050,m.gomez@aleservicecenter.com,,,,Limited,Limited,,,,,,,3/9/2026,
"ALE SERVICE CENTER, S. DE R.L. DE C. V.",UQXY,,UQXY990X,,,,,,,,,,"GOMEZ, MARCO",,m.gomez@aleservicecenter.com,,,,Limited,Limited,Limited,NonDestructiveTst,Limited,,Limited,,3/9/2026,
ALIA - THE ROYAL JORDANIAN AIRLINES,RJNY,DBA ROYAL JORDANIAN AIRLINES,RJNY199E,QUEEN ALIA INTERNATIONAL AIRPORT,,,AMMAN,,JORDAN,11104,+962792000201,,"MAJALI, SAMER",,,"ANAN, MOHAMMAD",,mohammad.annan@rj.com,,Limited,,,Limited,,,,3/9/2026,
ALIDAUNIA SRL,UUDY,,UUDY834D,"STRADA STATALE 673 KM 19,00",,,FOGGIA,,ITALY,71122,+39 0881 617961,,"PUCILLO, ROBERTA VALENTINA",,,FRANCESCO NITTI,,francesco.nitti@alidaunia.it,Limited,,,,Limited,,,,3/9/2026,
ALIRIO AIRCRAFT SERVICES INC,9UAR,DBA 24JETS,9UAR473C,4600 NW 135TH STREET,,,OPALOCKA,FL,UNITED STATES,33054,3059607279,,"BRAVO, CHRISTIAN R",,,CHRISTIAN BRAVO,,,,Limited,,,Limited,,,,3/9/2026,
ALKAN AIR,3KEY,,3KEY441C,UNIT (T1-L11-001) BUILDING (1) CITA,INTERSECTION OF MOKATTAM ROAD WITH,,CAIRO,,EGYPT,11776,,,"ELABHAR, HUSSAM MOKHTAR",,,ABD-ELGHANY M. ABD-ELGHANY,100508370,quality.alkanair@alkan.com,Limited,Limited,Limited,NonDestructiveTst,Limited,Limited,Limited,,3/9/2026,
"ALL NIPPON AIRWAYS CO., LTD.",KO7Y,"DBA ANA AAS CO., LTD.
DBA ANA CO., LTD.
DBA ANA LTC CO., LTD.
DBA ANA CTC CO., LTD.",KO7Y849X,3-5-4 HANEDA AIRPORT,OTA-KU,,TOKYO,,JAPAN,144-0041,+81-7048743180,n.inamori@ana.co.jp,"MATSUDA, MINORI",+81-70-3933559,,NORITAKA INAMORI,,n.inamori@ana.co.jp,,Limited,,,,,,,3/9/2026,n.inamori@ana.co.jp
ALL STAR AVIONICS,U28R,,U28R146Y,10615 SPENCER HWY.,,,LA PORTE,TX,UNITED STATES,77571,,,"MAAROUF, DAN",,dhm727@aol.com,"MAAROUF, DAN",2814707827,dhm727@aol.com,,,Limited,,,,Limited,,3/9/2026,
ALL4JETS TECHNICS SP. Z O.O.,THRY,DBA ALL4JETS,THRY012E,"PRZEMYSLOWA 8, HALL 507",,,BYDGOSZCZ,,POLAND,85-758,,,"NIDERLA, ANDRZEJ",,,PAWEL GORA,,pawel.gora@all4jets.com,Limited,Limited,Limited,"Landing Gear, NonDestructiveTst",Limited,Limited,Limited,,3/9/2026,
ALLCLEAR REPAIR SERVICES INC,3KRR,,3KRR894D,15501 SW 29TH STREET,SUITE 101,,MIRAMAR,FL,UNITED STATES,33027,9545382425,,"MAYORQUIN, RAUL",,,"MAYORQUIN, RAUL",9545382000,rmayorquin@goallclear.com,"Class 1, Class 2, Class 3",Limited,Limited,,,,,EASA,3/9/2026,
ALLEN AIRCRAFT PRODUCTS INC,A25R,,A25R395J,6168  WOODBINE STREET,,,RAVENNA,OH,UNITED STATES,44266,,,"DUNCAN, KENNETH",3302983434,kennethd@allenaircraft.com,KENNETH DUNCAN,3302983434,kenneth.d.duncan@allenaircraft.com,Limited,,,,,,,"EASA, United Kingdom",3/9/2026,
ALLEN AVIATION LLC,AAVR,,AAVR958D,3652 CR GG. 2,,,LAMAR,CO,UNITED STATES,81052,,,"ALLEN, CODY",7196887998,,CODY ALLEN,7196887998,allenaviation.llc1@gmail.com,,Limited,Limited,,,,Limited,,3/9/2026,
ALLFLIGHT CORPORATION,PK3R,,PK3R654Y,20014 70TH AVENUE  SOUTH,,,KENT,WA,UNITED STATES,98032,,,"SINGLEY, MICHAEL K.",2534370582 EXT. 126,michaels@allflight.com,"SINGLEY, MICHAEL K.",2534370582 EXT. 126,michaels@allflight.com,Limited,Limited,,,,,,"EASA, United Kingdom",3/9/2026,
ALLIANCE AERONAUTICAL COMPOSITES LLC,4RFR,,4RFR592C,7440 NW 79TH ST,,,MEDLEY,FL,UNITED STATES,33166,,,"RODRIGUEZ, FRANCISCO D.",2396898021,frodriguez@alaleco.com,"SEPULVEDA, ARNALDO",2396288021,qc@alaeco.com,,Limited,,,,,,EASA,3/9/2026,
ALLIANCE AEROSPACE GROUP LLC,AA5R,DBA AIRCRAFT TECHNICAL SERVICES,AA5R890D,28368 CONSTELLATION ROAD,UNIT 310,,VALENCIA,CA,UNITED STATES,91355,6616443800,robert@alliance.aero,"AYVAZIAN, ROBERT",,,ROBERT AYVAZIAN,6616443800,,Limited,Limited,,,,,,,3/9/2026,robert@alliance.aero
"ALLIANT TECHSYSTEMS OPERATIONS, LLC.",Y2XR,,Y2XR337B,8710 FREEPORT PKWY #200,,,IRVING,TX,UNITED STATES,75063,8179163314,,"BROWN, RONALD",,,RONALD BROWN,8173740960,ronald.brown@ngc.com,Limited,Limited,Limited,,Limited,,Limited,,3/9/2026,
ALLIED MOTION TECHNOLOGIES,AJ5R,,AJ5R728M,3887 NAPIER FIELD ROAD,,,DOTHAN,AL,UNITED STATES,36303,3349833542,chad.bryan@alliedmotion.com,"BRYAN, CHAD",3349837447,chad.bryan@alliedmotion.com,"SPANN,  JOE",3349837242,joe.spann@alliedmotion.com,Limited,,,,,,,EASA,3/9/2026,chad.bryan@alliedmotion.com
ALLOY METALWORKS LLC,ALWR,,ALWR453E,"1865 W. UNION AVE. UNITS R,S,T",,,SHERIDAN,CO,UNITED STATES,80110,7207440807,,"HRITZ, CYNTA",7206757105,,CYNTA HRITZ,7206757105,cynta@alloycolorado.com,,,,SpecializedService,,,,,3/9/2026,
"ALOFT AVIATION MAINTENANCE, LLP",ALLR,,ALLR475E,3985 TORRINGTON ROAD,,,LAURENS,SC,UNITED STATES,29360,7175384077,john.c@charteraloft.com,"CRUCE, JOHN",,,JOHN CRUCE,7175384077,john.c@charteraloft.com,,Limited,Limited,,,,Limited,,3/9/2026,john.c@charteraloft.com
ALPHA AIRCRAFT SERVICES OF AMERICA INC,17LR,DBA TODDCOE AIRCRAFT MX,17LR247B,2317 FM 758,NEW BRAUNFELS MUNICIPAL AIRPORT,,NEW  BRAUNFELS,TX,UNITED STATES,78130,8308327571,nate@todecoeaviation.com,"TODD, NATHAN L.",8308327571,nate@toddcoeaviation.com,"TODD, NATHAN L.",8308327571,nate@toddcoeaviation.com,,Limited,,,Limited,Limited,,,3/9/2026,nate@todecoeaviation.com
ALPHA AIRCRAFT SYSTEMS INC,SY8R,,SY8R100N,4265 E 10TH LANE,,,HIALEAH,FL,UNITED STATES,33013,,,"LEPPE, ISRAEL",,,"RODRIGUEZ, ALBERTO",3058851599,arodriguez@alphaaircraft.com,"Class 1, Class 2",,,"NonDestructiveTst, SpecializedService",,,,"EASA, United Kingdom",3/9/2026,
ALPHA AVIONICS LLC,SW6R,,SW6R338X,600 HULL STREET,,,BOYNE,MI,UNITED STATES,49712,2313739701,ke6icd@charter.net,"WOLFBRANDT, RAY",,,RAY WOLFBRANDT,2313739701,ke6icd@charter.net,,Limited,Limited,,,,Limited,,3/9/2026,ke6icd@charter.net
ALPHA BRAVO AVIONICS AND FLIGHT SERVICES LLC,ABMR,,ABMR668E,10500 AIRPORT ROAD,HANGAR E6,,CASTROVILLE,TX,UNITED STATES,78009,2108681925,alpha.bravoavionics@gmail.com,"BARBER, AUGUSTUS  JR.",2108681925,alpha.bravoavionics@gmail.com,AUGUSTUS BARBER JR,2108681925,alpha.bravoavionics@gmail.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,alpha.bravoavionics@gmail.com
ALPHA GURU AVIATION MAINTENANCE INC,S4AR,DBA SKY ADDICT AVIATION,S4AR551E,4007 AIRPORT ROAD,HANGAR 5000,,PLANT CITY,FL,UNITED STATES,33563,,,"TRAY, ABRAHAM J.",,,CHARLIE KESSLER,,ck@airfuga.com,,Limited,,,Limited,,,,3/9/2026,
ALPHA NDT INC,THOR,,THOR338E,ALPHA NDT INC,1006 EAST AVE,,CLERMONT,FL,UNITED STATES,34711,,,"MINOR, MICHAEL",,,MICHAEL MINOR,,mminor@alphandtinc.com,,,,NonDestructiveTst,,,,,3/9/2026,
ALPHA TURBINE AVIATION TECHNOLOGY LLC,1A6R,,1A6R094B,5603 NW 159TH STREET,,,MIAMI LAKES,FL,UNITED STATES,33014,7868385542,jrojas@worldenginesolutions.com,"ROJAS, JESUS",,,JESUS MARTIN CORDERO,3059896401,martinc@titanlsq.com,Limited,,,NonDestructiveTst,Limited,,,EASA,3/9/2026,jrojas@worldenginesolutions.com
ALPHA WELDING SERVICE INC,W5VR,,W5VR314Y,1011 MALTBY AVENUE,,,ORLANDO,FL,UNITED STATES,32803,4078964222,jbarker@alphaweldingservice.com,"BARKER, JODY",,,"BARKER, JODY",4078964222,jasjodcj@aol.com,,,,SpecializedService,,,,,3/9/2026,jbarker@alphaweldingservice.com
ALPHA-TECH AVIATION SERVICES INC,J6ZR,,J6ZR311Y,4233 UNITED PARKWAY,,,SCHILLER PARK,IL,UNITED STATES,60176,8472339180,,"RANGEL, ENRIQUE",,erangel@alphatechaviation.com,ENRIQUE RANGEL,,erangel@alphatechaviation.com,,Limited,,,Limited,,,EASA,3/9/2026,
ALPHA-ZULU COMPOSITES LLC,3ZLR,,3ZLR552D,4510 FLIGHTLINE DRIVE,,,KINGMAN,AZ,UNITED STATES,86401,9287578698,azcomposites@gmail.com,"GAINES, PAUL A.",9287578698,azcomposites@gmail.com,PAUL A. GAINES,9287578698,azcomposites@gmail.com,,Limited,,,,,,,3/9/2026,azcomposites@gmail.com
